emoji,unicode_name,group,subgroup,slug,codepoint,attestation_status
😽,kissing cat,Smileys & Emotion,,kissing_cat,U+1F63D,inferred_coherent
🙀,weary cat,Smileys & Emotion,,weary_cat,U+1F640,inferred_coherent
😿,crying cat,Smileys & Emotion,,crying_cat,U+1F63F,inferred_coherent
😾,pouting cat,Smileys & Emotion,,pouting_cat,U+1F63E,inferred_coherent
🙈,see-no-evil monkey,Smileys & Emotion,,see_no_evil_monkey,U+1F648,inferred_coherent
🙉,hear-no-evil monkey,Smileys & Emotion,,hear_no_evil_monkey,U+1F649,inferred_coherent
🙊,speak-no-evil monkey,Smileys & Emotion,,speak_no_evil_monkey,U+1F64A,inferred_coherent
💌,love letter,Smileys & Emotion,,love_letter,U+1F48C,inferred_coherent
💘,heart with arrow,Smileys & Emotion,,heart_with_arrow,U+1F498,inferred_coherent
💝,heart with ribbon,Smileys & Emotion,,heart_with_ribbon,U+1F49D,inferred_coherent
💖,sparkling heart,Smileys & Emotion,,sparkling_heart,U+1F496,inferred_coherent
💗,growing heart,Smileys & Emotion,,growing_heart,U+1F497,inferred_coherent
💓,beating heart,Smileys & Emotion,,beating_heart,U+1F493,inferred_coherent
💞,revolving hearts,Smileys & Emotion,,revolving_hearts,U+1F49E,inferred_coherent
💕,two hearts,Smileys & Emotion,,two_hearts,U+1F495,inferred_coherent
💟,heart decoration,Smileys & Emotion,,heart_decoration,U+1F49F,inferred_coherent
❣️,heart exclamation,Smileys & Emotion,,heart_exclamation,U+2763 U+FE0F,inferred_coherent
💔,broken heart,Smileys & Emotion,,broken_heart,U+1F494,inferred_coherent
❤️‍🔥,heart on fire,Smileys & Emotion,,heart_on_fire,U+2764 U+FE0F U+200D U+1F525,inferred_coherent
❤️‍🩹,mending heart,Smileys & Emotion,,mending_heart,U+2764 U+FE0F U+200D U+1FA79,inferred_coherent
❤️,red heart,Smileys & Emotion,,red_heart,U+2764 U+FE0F,inferred_coherent
🩷,pink heart,Smileys & Emotion,,pink_heart,U+1FA77,inferred_coherent
🧡,orange heart,Smileys & Emotion,,orange_heart,U+1F9E1,inferred_coherent
💛,yellow heart,Smileys & Emotion,,yellow_heart,U+1F49B,inferred_coherent
💚,green heart,Smileys & Emotion,,green_heart,U+1F49A,inferred_coherent
💙,blue heart,Smileys & Emotion,,blue_heart,U+1F499,inferred_coherent
🩵,light blue heart,Smileys & Emotion,,light_blue_heart,U+1FA75,inferred_coherent
💜,purple heart,Smileys & Emotion,,purple_heart,U+1F49C,inferred_coherent
🤎,brown heart,Smileys & Emotion,,brown_heart,U+1F90E,inferred_coherent
🖤,black heart,Smileys & Emotion,,black_heart,U+1F5A4,inferred_coherent
🩶,grey heart,Smileys & Emotion,,grey_heart,U+1FA76,inferred_coherent
🤍,white heart,Smileys & Emotion,,white_heart,U+1F90D,inferred_coherent
💋,kiss mark,Smileys & Emotion,,kiss_mark,U+1F48B,inferred_coherent
💯,hundred points,Smileys & Emotion,,hundred_points,U+1F4AF,inferred_coherent
