emoji,unicode_name,group,subgroup,slug,codepoint,attestation_status
🧑‍🧒‍🧒,"family adult, child, child",People & Body,,family_adult_child_child,U+1F9D1 U+200D U+1F9D2 U+200D U+1F9D2,inferred_coherent
👣,footprints,People & Body,,footprints,U+1F463,inferred_coherent
🫆,fingerprint,People & Body,,fingerprint,U+1FAC6,inferred_coherent
🐵,monkey face,Animals & Nature,,monkey_face,U+1F435,inferred_coherent
🐒,monkey,Animals & Nature,,monkey,U+1F412,inferred_coherent
🦍,gorilla,Animals & Nature,,gorilla,U+1F98D,inferred_coherent
🦧,orangutan,Animals & Nature,,orangutan,U+1F9A7,inferred_coherent
🐶,dog face,Animals & Nature,,dog_face,U+1F436,inferred_coherent
🐕,dog,Animals & Nature,,dog,U+1F415,inferred_coherent
🦮,guide dog,Animals & Nature,,guide_dog,U+1F9AE,inferred_coherent
🐕‍🦺,service dog,Animals & Nature,,service_dog,U+1F415 U+200D U+1F9BA,inferred_coherent
🐩,poodle,Animals & Nature,,poodle,U+1F429,inferred_coherent
🐺,wolf,Animals & Nature,,wolf,U+1F43A,inferred_coherent
🦊,fox,Animals & Nature,,fox,U+1F98A,inferred_coherent
🦝,raccoon,Animals & Nature,,raccoon,U+1F99D,inferred_coherent
🐱,cat face,Animals & Nature,,cat_face,U+1F431,inferred_coherent
🐈,cat,Animals & Nature,,cat,U+1F408,inferred_coherent
🐈‍⬛,black cat,Animals & Nature,,black_cat,U+1F408 U+200D U+2B1B,inferred_coherent
🦁,lion,Animals & Nature,,lion,U+1F981,inferred_coherent
🐯,tiger face,Animals & Nature,,tiger_face,U+1F42F,inferred_coherent
🐅,tiger,Animals & Nature,,tiger,U+1F405,inferred_coherent
🐆,leopard,Animals & Nature,,leopard,U+1F406,inferred_coherent
🐴,horse face,Animals & Nature,,horse_face,U+1F434,inferred_coherent
🫎,moose,Animals & Nature,,moose,U+1FACE,inferred_coherent
🫏,donkey,Animals & Nature,,donkey,U+1FACF,inferred_coherent
🐎,horse,Animals & Nature,,horse,U+1F40E,inferred_coherent
🦄,unicorn,Animals & Nature,,unicorn,U+1F984,inferred_coherent
🦓,zebra,Animals & Nature,,zebra,U+1F993,inferred_coherent
🦌,deer,Animals & Nature,,deer,U+1F98C,inferred_coherent
🦬,bison,Animals & Nature,,bison,U+1F9AC,inferred_coherent
🐮,cow face,Animals & Nature,,cow_face,U+1F42E,inferred_coherent
🐂,ox,Animals & Nature,,ox,U+1F402,inferred_coherent
🐃,water buffalo,Animals & Nature,,water_buffalo,U+1F403,inferred_coherent
🐄,cow,Animals & Nature,,cow,U+1F404,inferred_coherent
🐷,pig face,Animals & Nature,,pig_face,U+1F437,inferred_coherent
🐖,pig,Animals & Nature,,pig,U+1F416,inferred_coherent
🐗,boar,Animals & Nature,,boar,U+1F417,inferred_coherent
🐽,pig nose,Animals & Nature,,pig_nose,U+1F43D,inferred_coherent
🐏,ram,Animals & Nature,,ram,U+1F40F,inferred_coherent
🐑,ewe,Animals & Nature,,ewe,U+1F411,inferred_coherent
🐐,goat,Animals & Nature,,goat,U+1F410,inferred_coherent
🐪,camel,Animals & Nature,,camel,U+1F42A,inferred_coherent
🐫,two-hump camel,Animals & Nature,,two_hump_camel,U+1F42B,inferred_coherent
🦙,llama,Animals & Nature,,llama,U+1F999,inferred_coherent
🦒,giraffe,Animals & Nature,,giraffe,U+1F992,inferred_coherent
🐘,elephant,Animals & Nature,,elephant,U+1F418,inferred_coherent
🦣,mammoth,Animals & Nature,,mammoth,U+1F9A3,inferred_coherent
🦏,rhinoceros,Animals & Nature,,rhinoceros,U+1F98F,inferred_coherent
🦛,hippopotamus,Animals & Nature,,hippopotamus,U+1F99B,inferred_coherent
🐭,mouse face,Animals & Nature,,mouse_face,U+1F42D,inferred_coherent
🐁,mouse,Animals & Nature,,mouse,U+1F401,inferred_coherent
🐀,rat,Animals & Nature,,rat,U+1F400,inferred_coherent
🐹,hamster,Animals & Nature,,hamster,U+1F439,inferred_coherent
🐰,rabbit face,Animals & Nature,,rabbit_face,U+1F430,inferred_coherent
🐇,rabbit,Animals & Nature,,rabbit,U+1F407,inferred_coherent
🐿️,chipmunk,Animals & Nature,,chipmunk,U+1F43F U+FE0F,inferred_coherent
🦫,beaver,Animals & Nature,,beaver,U+1F9AB,inferred_coherent
🦔,hedgehog,Animals & Nature,,hedgehog,U+1F994,inferred_coherent
🦇,bat,Animals & Nature,,bat,U+1F987,inferred_coherent
🐻,bear,Animals & Nature,,bear,U+1F43B,inferred_coherent
🐻‍❄️,polar bear,Animals & Nature,,polar_bear,U+1F43B U+200D U+2744 U+FE0F,inferred_coherent
🐨,koala,Animals & Nature,,koala,U+1F428,inferred_coherent
🐼,panda,Animals & Nature,,panda,U+1F43C,inferred_coherent
🦥,sloth,Animals & Nature,,sloth,U+1F9A5,inferred_coherent
🦦,otter,Animals & Nature,,otter,U+1F9A6,inferred_coherent
🦨,skunk,Animals & Nature,,skunk,U+1F9A8,inferred_coherent
🦘,kangaroo,Animals & Nature,,kangaroo,U+1F998,inferred_coherent
🦡,badger,Animals & Nature,,badger,U+1F9A1,inferred_coherent
🐾,paw prints,Animals & Nature,,paw_prints,U+1F43E,inferred_coherent
🦃,turkey,Animals & Nature,,turkey,U+1F983,inferred_coherent
🐔,chicken,Animals & Nature,,chicken,U+1F414,inferred_coherent
🐓,rooster,Animals & Nature,,rooster,U+1F413,inferred_coherent
🐣,hatching chick,Animals & Nature,,hatching_chick,U+1F423,inferred_coherent
🐤,baby chick,Animals & Nature,,baby_chick,U+1F424,inferred_coherent
🐥,front-facing baby chick,Animals & Nature,,front_facing_baby_chick,U+1F425,inferred_coherent
🐦,bird,Animals & Nature,,bird,U+1F426,inferred_coherent
🐧,penguin,Animals & Nature,,penguin,U+1F427,inferred_coherent
🕊️,dove,Animals & Nature,,dove,U+1F54A U+FE0F,inferred_coherent
🦅,eagle,Animals & Nature,,eagle,U+1F985,inferred_coherent
🦆,duck,Animals & Nature,,duck,U+1F986,inferred_coherent
🦢,swan,Animals & Nature,,swan,U+1F9A2,inferred_coherent
🦉,owl,Animals & Nature,,owl,U+1F989,inferred_coherent
🦤,dodo,Animals & Nature,,dodo,U+1F9A4,inferred_coherent
🪶,feather,Animals & Nature,,feather,U+1FAB6,inferred_coherent
🦩,flamingo,Animals & Nature,,flamingo,U+1F9A9,inferred_coherent
🦚,peacock,Animals & Nature,,peacock,U+1F99A,inferred_coherent
🦜,parrot,Animals & Nature,,parrot,U+1F99C,inferred_coherent
🪽,wing,Animals & Nature,,wing,U+1FABD,inferred_coherent
🐦‍⬛,black bird,Animals & Nature,,black_bird,U+1F426 U+200D U+2B1B,inferred_coherent
🪿,goose,Animals & Nature,,goose,U+1FABF,inferred_coherent
🐦‍🔥,phoenix,Animals & Nature,,phoenix,U+1F426 U+200D U+1F525,inferred_coherent
🐸,frog,Animals & Nature,,frog,U+1F438,inferred_coherent
🐊,crocodile,Animals & Nature,,crocodile,U+1F40A,inferred_coherent
🐢,turtle,Animals & Nature,,turtle,U+1F422,inferred_coherent
🦎,lizard,Animals & Nature,,lizard,U+1F98E,inferred_coherent
🐍,snake,Animals & Nature,,snake,U+1F40D,inferred_coherent
🐲,dragon face,Animals & Nature,,dragon_face,U+1F432,inferred_coherent
🐉,dragon,Animals & Nature,,dragon,U+1F409,inferred_coherent
🦕,sauropod,Animals & Nature,,sauropod,U+1F995,inferred_coherent
🦖,T-Rex,Animals & Nature,,t_rex,U+1F996,inferred_coherent
🐳,spouting whale,Animals & Nature,,spouting_whale,U+1F433,inferred_coherent
🐋,whale,Animals & Nature,,whale,U+1F40B,inferred_coherent
🐬,dolphin,Animals & Nature,,dolphin,U+1F42C,inferred_coherent
🦭,seal,Animals & Nature,,seal,U+1F9AD,inferred_coherent
🐟,fish,Animals & Nature,,fish,U+1F41F,inferred_coherent
🐠,tropical fish,Animals & Nature,,tropical_fish,U+1F420,inferred_coherent
🐡,blowfish,Animals & Nature,,blowfish,U+1F421,inferred_coherent
🦈,shark,Animals & Nature,,shark,U+1F988,inferred_coherent
🐙,octopus,Animals & Nature,,octopus,U+1F419,inferred_coherent
🐚,spiral shell,Animals & Nature,,spiral_shell,U+1F41A,inferred_coherent
🪸,coral,Animals & Nature,,coral,U+1FAB8,inferred_coherent
🪼,jellyfish,Animals & Nature,,jellyfish,U+1FABC,inferred_coherent
🦀,crab,Animals & Nature,,crab,U+1F980,inferred_coherent
🦞,lobster,Animals & Nature,,lobster,U+1F99E,inferred_coherent
🦐,shrimp,Animals & Nature,,shrimp,U+1F990,inferred_coherent
🦑,squid,Animals & Nature,,squid,U+1F991,inferred_coherent
🦪,oyster,Animals & Nature,,oyster,U+1F9AA,inferred_coherent
🐌,snail,Animals & Nature,,snail,U+1F40C,inferred_coherent
🦋,butterfly,Animals & Nature,,butterfly,U+1F98B,inferred_coherent
🐛,bug,Animals & Nature,,bug,U+1F41B,inferred_coherent
🐜,ant,Animals & Nature,,ant,U+1F41C,inferred_coherent
🐝,honeybee,Animals & Nature,,honeybee,U+1F41D,inferred_coherent
🪲,beetle,Animals & Nature,,beetle,U+1FAB2,inferred_coherent
🐞,lady beetle,Animals & Nature,,lady_beetle,U+1F41E,inferred_coherent
🦗,cricket,Animals & Nature,,cricket,U+1F997,inferred_coherent
🪳,cockroach,Animals & Nature,,cockroach,U+1FAB3,inferred_coherent
🕷️,spider,Animals & Nature,,spider,U+1F577 U+FE0F,inferred_coherent
🕸️,spider web,Animals & Nature,,spider_web,U+1F578 U+FE0F,inferred_coherent
🦂,scorpion,Animals & Nature,,scorpion,U+1F982,inferred_coherent
🦟,mosquito,Animals & Nature,,mosquito,U+1F99F,inferred_coherent
🪰,fly,Animals & Nature,,fly,U+1FAB0,inferred_coherent
🪱,worm,Animals & Nature,,worm,U+1FAB1,inferred_coherent
🦠,microbe,Animals & Nature,,microbe,U+1F9A0,inferred_coherent
💐,bouquet,Animals & Nature,,bouquet,U+1F490,inferred_coherent
🌸,cherry blossom,Animals & Nature,,cherry_blossom,U+1F338,inferred_coherent
💮,white flower,Animals & Nature,,white_flower,U+1F4AE,inferred_coherent
🪷,lotus,Animals & Nature,,lotus,U+1FAB7,inferred_coherent
🏵️,rosette,Animals & Nature,,rosette,U+1F3F5 U+FE0F,inferred_coherent
🌹,rose,Animals & Nature,,rose,U+1F339,inferred_coherent
🥀,wilted flower,Animals & Nature,,wilted_flower,U+1F940,inferred_coherent
🌺,hibiscus,Animals & Nature,,hibiscus,U+1F33A,inferred_coherent
🌻,sunflower,Animals & Nature,,sunflower,U+1F33B,inferred_coherent
🌼,blossom,Animals & Nature,,blossom,U+1F33C,inferred_coherent
🌷,tulip,Animals & Nature,,tulip,U+1F337,inferred_coherent
🪻,hyacinth,Animals & Nature,,hyacinth,U+1FABB,inferred_coherent
🌱,seedling,Animals & Nature,,seedling,U+1F331,inferred_coherent
🪴,potted plant,Animals & Nature,,potted_plant,U+1FAB4,inferred_coherent
🌲,evergreen tree,Animals & Nature,,evergreen_tree,U+1F332,inferred_coherent
🌳,deciduous tree,Animals & Nature,,deciduous_tree,U+1F333,inferred_coherent
🌴,palm tree,Animals & Nature,,palm_tree,U+1F334,inferred_coherent
🌵,cactus,Animals & Nature,,cactus,U+1F335,inferred_coherent
🌾,sheaf of rice,Animals & Nature,,sheaf_of_rice,U+1F33E,inferred_coherent
🌿,herb,Animals & Nature,,herb,U+1F33F,inferred_coherent
☘️,shamrock,Animals & Nature,,shamrock,U+2618 U+FE0F,inferred_coherent
🍀,four leaf clover,Animals & Nature,,four_leaf_clover,U+1F340,inferred_coherent
🍁,maple leaf,Animals & Nature,,maple_leaf,U+1F341,inferred_coherent
🍂,fallen leaf,Animals & Nature,,fallen_leaf,U+1F342,inferred_coherent
🍃,leaf fluttering in wind,Animals & Nature,,leaf_fluttering_in_wind,U+1F343,inferred_coherent
🪹,empty nest,Animals & Nature,,empty_nest,U+1FAB9,inferred_coherent
🪺,nest with eggs,Animals & Nature,,nest_with_eggs,U+1FABA,inferred_coherent
🍄,mushroom,Animals & Nature,,mushroom,U+1F344,inferred_coherent
🪾,leafless tree,Animals & Nature,,leafless_tree,U+1FABE,inferred_coherent
🍇,grapes,Food & Drink,,grapes,U+1F347,inferred_coherent
🍈,melon,Food & Drink,,melon,U+1F348,inferred_coherent
🍉,watermelon,Food & Drink,,watermelon,U+1F349,inferred_coherent
🍊,tangerine,Food & Drink,,tangerine,U+1F34A,inferred_coherent
🍋,lemon,Food & Drink,,lemon,U+1F34B,inferred_coherent
🍋‍🟩,lime,Food & Drink,,lime,U+1F34B U+200D U+1F7E9,inferred_coherent
🍌,banana,Food & Drink,,banana,U+1F34C,inferred_coherent
🍍,pineapple,Food & Drink,,pineapple,U+1F34D,inferred_coherent
🥭,mango,Food & Drink,,mango,U+1F96D,inferred_coherent
🍎,red apple,Food & Drink,,red_apple,U+1F34E,inferred_coherent
🍏,green apple,Food & Drink,,green_apple,U+1F34F,inferred_coherent
🍐,pear,Food & Drink,,pear,U+1F350,inferred_coherent
🍑,peach,Food & Drink,,peach,U+1F351,inferred_coherent
🍒,cherries,Food & Drink,,cherries,U+1F352,inferred_coherent
🍓,strawberry,Food & Drink,,strawberry,U+1F353,inferred_coherent
🫐,blueberries,Food & Drink,,blueberries,U+1FAD0,inferred_coherent
🥝,kiwi fruit,Food & Drink,,kiwi_fruit,U+1F95D,inferred_coherent
🍅,tomato,Food & Drink,,tomato,U+1F345,inferred_coherent
🫒,olive,Food & Drink,,olive,U+1FAD2,inferred_coherent
🥥,coconut,Food & Drink,,coconut,U+1F965,inferred_coherent
🥑,avocado,Food & Drink,,avocado,U+1F951,inferred_coherent
🍆,eggplant,Food & Drink,,eggplant,U+1F346,inferred_coherent
🥔,potato,Food & Drink,,potato,U+1F954,inferred_coherent
🥕,carrot,Food & Drink,,carrot,U+1F955,inferred_coherent
🌽,ear of corn,Food & Drink,,ear_of_corn,U+1F33D,inferred_coherent
🌶️,hot pepper,Food & Drink,,hot_pepper,U+1F336 U+FE0F,inferred_coherent
🫑,bell pepper,Food & Drink,,bell_pepper,U+1FAD1,inferred_coherent
🥒,cucumber,Food & Drink,,cucumber,U+1F952,inferred_coherent
🥬,leafy green,Food & Drink,,leafy_green,U+1F96C,inferred_coherent
🥦,broccoli,Food & Drink,,broccoli,U+1F966,inferred_coherent
🧄,garlic,Food & Drink,,garlic,U+1F9C4,inferred_coherent
🧅,onion,Food & Drink,,onion,U+1F9C5,inferred_coherent
🥜,peanuts,Food & Drink,,peanuts,U+1F95C,inferred_coherent
🫘,beans,Food & Drink,,beans,U+1FAD8,inferred_coherent
🌰,chestnut,Food & Drink,,chestnut,U+1F330,inferred_coherent
🫚,ginger root,Food & Drink,,ginger_root,U+1FADA,inferred_coherent
🫛,pea pod,Food & Drink,,pea_pod,U+1FADB,inferred_coherent
🍄‍🟫,brown mushroom,Food & Drink,,brown_mushroom,U+1F344 U+200D U+1F7EB,inferred_coherent
🫜,root vegetable,Food & Drink,,root_vegetable,U+1FADC,inferred_coherent
🍞,bread,Food & Drink,,bread,U+1F35E,inferred_coherent
🥐,croissant,Food & Drink,,croissant,U+1F950,inferred_coherent
🥖,baguette bread,Food & Drink,,baguette_bread,U+1F956,inferred_coherent
🫓,flatbread,Food & Drink,,flatbread,U+1FAD3,inferred_coherent
🥨,pretzel,Food & Drink,,pretzel,U+1F968,inferred_coherent
🥯,bagel,Food & Drink,,bagel,U+1F96F,inferred_coherent
🥞,pancakes,Food & Drink,,pancakes,U+1F95E,inferred_coherent
🧇,waffle,Food & Drink,,waffle,U+1F9C7,inferred_coherent
🧀,cheese wedge,Food & Drink,,cheese_wedge,U+1F9C0,inferred_coherent
🍖,meat on bone,Food & Drink,,meat_on_bone,U+1F356,inferred_coherent
🍗,poultry leg,Food & Drink,,poultry_leg,U+1F357,inferred_coherent
🥩,cut of meat,Food & Drink,,cut_of_meat,U+1F969,inferred_coherent
🥓,bacon,Food & Drink,,bacon,U+1F953,inferred_coherent
🍔,hamburger,Food & Drink,,hamburger,U+1F354,inferred_coherent
🍟,french fries,Food & Drink,,french_fries,U+1F35F,inferred_coherent
🍕,pizza,Food & Drink,,pizza,U+1F355,inferred_coherent
🌭,hot dog,Food & Drink,,hot_dog,U+1F32D,inferred_coherent
🥪,sandwich,Food & Drink,,sandwich,U+1F96A,inferred_coherent
🌮,taco,Food & Drink,,taco,U+1F32E,inferred_coherent
🌯,burrito,Food & Drink,,burrito,U+1F32F,inferred_coherent
🫔,tamale,Food & Drink,,tamale,U+1FAD4,inferred_coherent
🥙,stuffed flatbread,Food & Drink,,stuffed_flatbread,U+1F959,inferred_coherent
🧆,falafel,Food & Drink,,falafel,U+1F9C6,inferred_coherent
🥚,egg,Food & Drink,,egg,U+1F95A,inferred_coherent
🍳,cooking,Food & Drink,,cooking,U+1F373,inferred_coherent
🥘,shallow pan of food,Food & Drink,,shallow_pan_of_food,U+1F958,inferred_coherent
🍲,pot of food,Food & Drink,,pot_of_food,U+1F372,inferred_coherent
🫕,fondue,Food & Drink,,fondue,U+1FAD5,inferred_coherent
🥣,bowl with spoon,Food & Drink,,bowl_with_spoon,U+1F963,inferred_coherent
🥗,green salad,Food & Drink,,green_salad,U+1F957,inferred_coherent
🍿,popcorn,Food & Drink,,popcorn,U+1F37F,inferred_coherent
🧈,butter,Food & Drink,,butter,U+1F9C8,inferred_coherent
🧂,salt,Food & Drink,,salt,U+1F9C2,inferred_coherent
🥫,canned food,Food & Drink,,canned_food,U+1F96B,inferred_coherent
🍱,bento box,Food & Drink,,bento_box,U+1F371,inferred_coherent
🍘,rice cracker,Food & Drink,,rice_cracker,U+1F358,inferred_coherent
🍙,rice ball,Food & Drink,,rice_ball,U+1F359,inferred_coherent
🍚,cooked rice,Food & Drink,,cooked_rice,U+1F35A,inferred_coherent
🍛,curry rice,Food & Drink,,curry_rice,U+1F35B,inferred_coherent
🍜,steaming bowl,Food & Drink,,steaming_bowl,U+1F35C,inferred_coherent
🍝,spaghetti,Food & Drink,,spaghetti,U+1F35D,inferred_coherent
🍠,roasted sweet potato,Food & Drink,,roasted_sweet_potato,U+1F360,inferred_coherent
🍢,oden,Food & Drink,,oden,U+1F362,inferred_coherent
🍣,sushi,Food & Drink,,sushi,U+1F363,inferred_coherent
🍤,fried shrimp,Food & Drink,,fried_shrimp,U+1F364,inferred_coherent
🍥,fish cake with swirl,Food & Drink,,fish_cake_with_swirl,U+1F365,inferred_coherent
🥮,moon cake,Food & Drink,,moon_cake,U+1F96E,inferred_coherent
🍡,dango,Food & Drink,,dango,U+1F361,inferred_coherent
🥟,dumpling,Food & Drink,,dumpling,U+1F95F,inferred_coherent
🥠,fortune cookie,Food & Drink,,fortune_cookie,U+1F960,inferred_coherent
🥡,takeout box,Food & Drink,,takeout_box,U+1F961,inferred_coherent
🍦,soft ice cream,Food & Drink,,soft_ice_cream,U+1F366,inferred_coherent
🍧,shaved ice,Food & Drink,,shaved_ice,U+1F367,inferred_coherent
🍨,ice cream,Food & Drink,,ice_cream,U+1F368,inferred_coherent
🍩,doughnut,Food & Drink,,doughnut,U+1F369,inferred_coherent
🍪,cookie,Food & Drink,,cookie,U+1F36A,inferred_coherent
🎂,birthday cake,Food & Drink,,birthday_cake,U+1F382,inferred_coherent
🍰,shortcake,Food & Drink,,shortcake,U+1F370,inferred_coherent
🧁,cupcake,Food & Drink,,cupcake,U+1F9C1,inferred_coherent
🥧,pie,Food & Drink,,pie,U+1F967,inferred_coherent
🍫,chocolate bar,Food & Drink,,chocolate_bar,U+1F36B,inferred_coherent
🍬,candy,Food & Drink,,candy,U+1F36C,inferred_coherent
🍭,lollipop,Food & Drink,,lollipop,U+1F36D,inferred_coherent
🍮,custard,Food & Drink,,custard,U+1F36E,inferred_coherent
🍯,honey pot,Food & Drink,,honey_pot,U+1F36F,inferred_coherent
🍼,baby bottle,Food & Drink,,baby_bottle,U+1F37C,inferred_coherent
🥛,glass of milk,Food & Drink,,glass_of_milk,U+1F95B,inferred_coherent
☕,hot beverage,Food & Drink,,hot_beverage,U+2615,inferred_coherent
🫖,teapot,Food & Drink,,teapot,U+1FAD6,inferred_coherent
🍵,teacup without handle,Food & Drink,,teacup_without_handle,U+1F375,inferred_coherent
🍶,sake,Food & Drink,,sake,U+1F376,inferred_coherent
🍾,bottle with popping cork,Food & Drink,,bottle_with_popping_cork,U+1F37E,inferred_coherent
🍷,wine glass,Food & Drink,,wine_glass,U+1F377,inferred_coherent
🍸,cocktail glass,Food & Drink,,cocktail_glass,U+1F378,inferred_coherent
🍹,tropical drink,Food & Drink,,tropical_drink,U+1F379,inferred_coherent
🍺,beer mug,Food & Drink,,beer_mug,U+1F37A,inferred_coherent
🍻,clinking beer mugs,Food & Drink,,clinking_beer_mugs,U+1F37B,inferred_coherent
🥂,clinking glasses,Food & Drink,,clinking_glasses,U+1F942,inferred_coherent
🥃,tumbler glass,Food & Drink,,tumbler_glass,U+1F943,inferred_coherent
🫗,pouring liquid,Food & Drink,,pouring_liquid,U+1FAD7,inferred_coherent
🥤,cup with straw,Food & Drink,,cup_with_straw,U+1F964,inferred_coherent
🧋,bubble tea,Food & Drink,,bubble_tea,U+1F9CB,inferred_coherent
🧃,beverage box,Food & Drink,,beverage_box,U+1F9C3,inferred_coherent
🧉,mate,Food & Drink,,mate,U+1F9C9,inferred_coherent
🧊,ice,Food & Drink,,ice,U+1F9CA,inferred_coherent
🥢,chopsticks,Food & Drink,,chopsticks,U+1F962,inferred_coherent
🍽️,fork and knife with plate,Food & Drink,,fork_and_knife_with_plate,U+1F37D U+FE0F,inferred_coherent
🍴,fork and knife,Food & Drink,,fork_and_knife,U+1F374,inferred_coherent
🥄,spoon,Food & Drink,,spoon,U+1F944,inferred_coherent
🔪,kitchen knife,Food & Drink,,kitchen_knife,U+1F52A,inferred_coherent
🫙,jar,Food & Drink,,jar,U+1FAD9,inferred_coherent
🏺,amphora,Food & Drink,,amphora,U+1F3FA,inferred_coherent
🌍,globe showing Europe-Africa,Travel & Places,,globe_showing_europe_africa,U+1F30D,inferred_coherent
🌎,globe showing Americas,Travel & Places,,globe_showing_americas,U+1F30E,inferred_coherent
🌏,globe showing Asia-Australia,Travel & Places,,globe_showing_asia_australia,U+1F30F,inferred_coherent
🌐,globe with meridians,Travel & Places,,globe_with_meridians,U+1F310,inferred_coherent
🗺️,world map,Travel & Places,,world_map,U+1F5FA U+FE0F,inferred_coherent
🗾,map of Japan,Travel & Places,,map_of_japan,U+1F5FE,inferred_coherent
🧭,compass,Travel & Places,,compass,U+1F9ED,inferred_coherent
🏔️,snow-capped mountain,Travel & Places,,snow_capped_mountain,U+1F3D4 U+FE0F,inferred_coherent
⛰️,mountain,Travel & Places,,mountain,U+26F0 U+FE0F,inferred_coherent
🌋,volcano,Travel & Places,,volcano,U+1F30B,inferred_coherent
🗻,mount fuji,Travel & Places,,mount_fuji,U+1F5FB,inferred_coherent
🏕️,camping,Travel & Places,,camping,U+1F3D5 U+FE0F,inferred_coherent
🏖️,beach with umbrella,Travel & Places,,beach_with_umbrella,U+1F3D6 U+FE0F,inferred_coherent
🏜️,desert,Travel & Places,,desert,U+1F3DC U+FE0F,inferred_coherent
🏝️,desert island,Travel & Places,,desert_island,U+1F3DD U+FE0F,inferred_coherent
🏞️,national park,Travel & Places,,national_park,U+1F3DE U+FE0F,inferred_coherent
🏟️,stadium,Travel & Places,,stadium,U+1F3DF U+FE0F,inferred_coherent
🏛️,classical building,Travel & Places,,classical_building,U+1F3DB U+FE0F,inferred_coherent
🏗️,building construction,Travel & Places,,building_construction,U+1F3D7 U+FE0F,inferred_coherent
🧱,brick,Travel & Places,,brick,U+1F9F1,inferred_coherent
🪨,rock,Travel & Places,,rock,U+1FAA8,inferred_coherent
🪵,wood,Travel & Places,,wood,U+1FAB5,inferred_coherent
🛖,hut,Travel & Places,,hut,U+1F6D6,inferred_coherent
🏘️,houses,Travel & Places,,houses,U+1F3D8 U+FE0F,inferred_coherent
🏚️,derelict house,Travel & Places,,derelict_house,U+1F3DA U+FE0F,inferred_coherent
🏠,house,Travel & Places,,house,U+1F3E0,inferred_coherent
🏡,house with garden,Travel & Places,,house_with_garden,U+1F3E1,inferred_coherent
🏢,office building,Travel & Places,,office_building,U+1F3E2,inferred_coherent
🏣,Japanese post office,Travel & Places,,japanese_post_office,U+1F3E3,inferred_coherent
🏤,post office,Travel & Places,,post_office,U+1F3E4,inferred_coherent
🏥,hospital,Travel & Places,,hospital,U+1F3E5,inferred_coherent
🏦,bank,Travel & Places,,bank,U+1F3E6,inferred_coherent
🏨,hotel,Travel & Places,,hotel,U+1F3E8,inferred_coherent
🏩,love hotel,Travel & Places,,love_hotel,U+1F3E9,inferred_coherent
🏪,convenience store,Travel & Places,,convenience_store,U+1F3EA,inferred_coherent
🏫,school,Travel & Places,,school,U+1F3EB,inferred_coherent
🏬,department store,Travel & Places,,department_store,U+1F3EC,inferred_coherent
🏭,factory,Travel & Places,,factory,U+1F3ED,inferred_coherent
🏯,Japanese castle,Travel & Places,,japanese_castle,U+1F3EF,inferred_coherent
🏰,castle,Travel & Places,,castle,U+1F3F0,inferred_coherent
💒,wedding,Travel & Places,,wedding,U+1F492,inferred_coherent
🗼,Tokyo tower,Travel & Places,,tokyo_tower,U+1F5FC,inferred_coherent
🗽,Statue of Liberty,Travel & Places,,statue_of_liberty,U+1F5FD,inferred_coherent
⛪,church,Travel & Places,,church,U+26EA,inferred_coherent
🕌,mosque,Travel & Places,,mosque,U+1F54C,inferred_coherent
🛕,hindu temple,Travel & Places,,hindu_temple,U+1F6D5,inferred_coherent
🕍,synagogue,Travel & Places,,synagogue,U+1F54D,inferred_coherent
⛩️,shinto shrine,Travel & Places,,shinto_shrine,U+26E9 U+FE0F,inferred_coherent
🕋,kaaba,Travel & Places,,kaaba,U+1F54B,inferred_coherent
⛲,fountain,Travel & Places,,fountain,U+26F2,inferred_coherent
⛺,tent,Travel & Places,,tent,U+26FA,inferred_coherent
🌁,foggy,Travel & Places,,foggy,U+1F301,inferred_coherent
🌃,night with stars,Travel & Places,,night_with_stars,U+1F303,inferred_coherent
🏙️,cityscape,Travel & Places,,cityscape,U+1F3D9 U+FE0F,inferred_coherent
🌄,sunrise over mountains,Travel & Places,,sunrise_over_mountains,U+1F304,inferred_coherent
🌅,sunrise,Travel & Places,,sunrise,U+1F305,inferred_coherent
🌆,cityscape at dusk,Travel & Places,,cityscape_at_dusk,U+1F306,inferred_coherent
🌇,sunset,Travel & Places,,sunset,U+1F307,inferred_coherent
🌉,bridge at night,Travel & Places,,bridge_at_night,U+1F309,inferred_coherent
♨️,hot springs,Travel & Places,,hot_springs,U+2668 U+FE0F,inferred_coherent
🎠,carousel horse,Travel & Places,,carousel_horse,U+1F3A0,inferred_coherent
🛝,playground slide,Travel & Places,,playground_slide,U+1F6DD,inferred_coherent
🎡,ferris wheel,Travel & Places,,ferris_wheel,U+1F3A1,inferred_coherent
🎢,roller coaster,Travel & Places,,roller_coaster,U+1F3A2,inferred_coherent
💈,barber pole,Travel & Places,,barber_pole,U+1F488,inferred_coherent
🎪,circus tent,Travel & Places,,circus_tent,U+1F3AA,inferred_coherent
🚂,locomotive,Travel & Places,,locomotive,U+1F682,inferred_coherent
🚃,railway car,Travel & Places,,railway_car,U+1F683,inferred_coherent
🚄,high-speed train,Travel & Places,,high_speed_train,U+1F684,inferred_coherent
🚅,bullet train,Travel & Places,,bullet_train,U+1F685,inferred_coherent
🚆,train,Travel & Places,,train,U+1F686,inferred_coherent
🚇,metro,Travel & Places,,metro,U+1F687,inferred_coherent
🚈,light rail,Travel & Places,,light_rail,U+1F688,inferred_coherent
🚉,station,Travel & Places,,station,U+1F689,inferred_coherent
